amount,failed_attempts,new_device,account_age_days,international,is_fraud
38613,3,0,296,1,0
26192,8,0,39,0,0
11438,4,0,948,0,0
512,7,0,288,0,0
7643,8,1,124,0,0
33596,9,0,876,1,0
60792,4,0,969,1,0
89184,5,1,283,1,1
93020,0,1,878,1,0
44525,6,1,180,1,1
38856,3,0,97,1,0
18988,1,0,191,0,0
35835,4,0,74,1,0
47395,2,0,447,0,0
83142,5,1,785,0,1
86099,7,1,497,0,1
18055,6,0,561,0,0
37941,2,0,484,1,0
70740,7,0,849,1,1
65610,1,0,722,1,0
35011,9,1,116,0,1
59131,8,1,535,1,1
88826,3,0,98,1,0
7457,0,1,328,1,0
32579,7,0,909,1,0
61576,6,0,407,1,0
44911,4,1,313,1,0
36308,9,0,702,0,0
20250,4,1,694,0,0
71280,6,0,148,1,1
43386,4,1,342,0,0
68550,7,0,495,0,1
21452,5,1,948,1,0
55169,4,0,23,0,0
14497,8,0,105,1,0
41655,1,1,675,0,0
47059,0,0,579,1,0
828,7,1,802,0,0
50617,2,1,801,0,1
66334,6,0,558,0,1
40054,9,0,593,0,0
47380,7,0,941,1,0
79559,5,0,659,0,1
16879,9,1,222,1,1
64032,8,0,855,1,1
73036,6,0,15,0,1
24566,9,0,891,0,0
37039,4,1,633,1,0
69996,7,0,78,0,1
35370,1,1,322,1,0
59263,6,0,807,0,0
82737,3,1,241,1,1
52034,8,0,18,0,1
64995,0,0,768,0,0
32407,6,1,454,1,0
54198,5,0,443,1,0
61021,7,0,928,1,0
5586,4,0,277,0,0
8435,0,1,424,0,0
87000,0,0,476,0,0
89212,8,1,27,0,1
97303,9,1,514,1,1
11230,5,1,865,1,1
87608,9,0,464,0,1
60666,4,1,807,0,0
66803,0,1,982,0,0
27292,5,0,824,1,0
1162,5,1,363,1,0
84176,2,1,383,0,0
89880,7,0,751,1,1
21645,0,0,525,0,0
21789,0,1,382,0,0
11274,5,0,184,1,0
88561,9,0,194,1,1
9448,0,0,462,1,0
23814,5,1,56,1,1
38202,0,1,230,0,0
74560,5,0,489,1,1
90030,2,1,28,1,1
6901,7,0,832,1,0
72367,5,0,583,1,1
48236,0,0,722,0,0
23725,4,0,960,0,0
82973,7,0,184,1,1
72692,2,1,425,1,0
77152,5,1,375,0,1
44361,4,1,868,0,0
1642,5,1,41,1,0
21777,9,0,484,0,0
46832,0,0,260,0,0
50443,6,1,441,0,0
39181,8,1,926,0,0
62956,1,0,856,1,0
93205,9,0,84,0,1
88958,4,0,46,0,0
19165,9,1,440,1,0
83560,3,0,671,1,0
88192,5,0,856,1,0
54793,5,1,519,0,1
27062,1,1,986,1,0
28395,1,1,845,0,0
13907,3,0,438,1,0
42448,0,0,136,0,0
26532,8,1,183,1,0
83385,6,0,709,1,1
91892,6,0,172,0,1
57954,2,0,909,1,0
40362,2,1,861,1,0
37180,0,1,788,1,0
1424,2,0,590,1,0
91367,2,0,928,1,0
36009,3,0,956,0,0
89439,3,0,690,0,0
19970,2,1,539,1,0
34678,9,1,120,1,0
72224,7,0,281,0,1
26890,7,0,308,0,0
25389,0,1,708,1,0
55229,6,0,277,0,1
93814,1,1,530,1,0
94346,0,0,295,1,0
15585,2,1,783,1,0
44582,3,0,53,1,0
86288,5,0,806,0,0
4848,9,1,432,0,1
86869,4,1,52,0,0
9535,3,0,728,1,0
3809,7,0,72,0,0
30455,3,1,28,1,1
55871,9,1,469,1,1
57899,1,0,912,0,0
13216,2,0,764,1,0
25570,5,1,886,1,0
42444,7,1,912,1,1
43018,7,1,547,0,0
52324,8,1,401,1,1
39398,6,1,201,0,1
80319,1,0,761,1,0
61729,7,0,611,0,0
66140,6,1,820,1,1
99618,7,0,989,0,0
99935,2,0,999,0,0
28116,6,1,466,1,1
24060,9,0,652,1,0
33691,8,0,595,1,0
82948,2,0,560,1,0
67741,9,1,790,0,1
36495,5,1,379,1,1
22800,1,0,760,0,0
34720,1,0,895,1,0
20659,4,0,177,0,0
93145,4,0,52,0,0
93496,6,0,79,0,0
61742,1,0,385,1,0
76639,6,1,834,1,1
21832,4,0,576,0,0
91462,5,0,8,0,1
30454,7,1,214,0,0
13943,9,0,25,0,0
71826,3,0,450,0,0
17740,6,0,768,1,0
52628,5,0,755,0,1
38513,9,1,969,1,0
52738,1,0,457,1,0
52836,7,1,461,1,0
68966,9,0,198,0,0
19187,8,0,94,0,0
41530,4,1,719,0,0
24604,9,0,947,0,0
7214,3,1,437,1,0
78959,5,1,527,1,1
99757,7,1,690,1,1
11075,2,0,967,0,0
11123,9,0,378,0,0
21547,0,0,587,0,0
90569,3,0,104,0,0
24059,3,1,806,0,0
66303,0,0,680,0,0
29803,8,0,962,1,0
9437,2,1,627,1,0
46527,4,1,39,0,0
61629,5,0,458,1,1
84765,7,1,364,1,1
32021,5,1,785,1,0
33407,2,1,135,1,0
27455,5,1,374,0,0
4935,0,1,232,1,0
20259,3,0,39,0,0
47705,5,0,964,0,0
38188,6,0,803,1,1
78852,9,0,819,0,0
55384,2,0,47,1,0
57143,8,0,36,0,1
35647,6,0,832,0,0
97107,0,1,95,1,0
82944,1,0,985,1,0
27632,0,0,361,0,0
34449,8,0,525,1,1
45545,8,1,146,0,0
5813,6,0,917,1,0
56278,9,0,368,0,1
49507,2,1,65,0,0
70440,4,0,228,0,0
51090,3,0,754,0,0
75772,6,1,520,0,1
65645,8,0,816,1,1
84891,1,1,853,0,0
58241,7,0,555,1,1
23893,8,0,756,1,0
56670,9,0,181,0,0
95184,9,1,501,0,1
37992,8,1,597,1,0
1115,9,1,155,0,0
61913,6,0,787,0,1
27812,8,0,535,1,0
8515,8,1,627,1,1
62392,2,1,818,1,0
23933,3,0,435,1,0
4258,1,0,811,1,0
62780,9,0,99,1,1
20409,2,0,616,0,0
7070,4,1,372,1,0
72574,4,0,563,1,1
86804,5,0,362,0,0
46640,6,0,112,0,0
20484,6,0,453,0,0
18117,0,0,756,0,0
75980,1,0,169,0,0
8802,8,0,584,0,0
484,9,1,139,1,1
504,1,1,848,0,0
41043,5,1,231,0,1
48026,0,0,239,0,0
29289,2,1,984,0,0
12863,1,0,253,1,0
18484,2,0,981,0,0
60200,4,0,436,0,0
98242,9,0,919,1,1
9960,5,1,561,1,0
80742,8,0,422,1,0
50712,9,0,303,0,0
23674,3,1,72,1,0
23624,6,1,263,1,0
69272,5,1,834,1,1
11016,1,0,222,0,0
4909,9,1,77,0,1
32301,7,0,62,1,1
53430,6,0,471,0,0
13556,6,1,157,0,0
56497,7,1,806,0,1
38865,0,1,125,0,0
34916,0,0,741,0,0
45206,7,0,852,1,0
54032,3,0,161,1,0
17200,4,0,541,1,0
57191,7,0,626,1,1
22049,4,0,591,0,0
70180,9,1,535,1,1
37844,3,0,106,1,0
45643,5,1,131,0,1
92293,4,1,357,0,0
36287,6,1,989,0,0
7339,9,1,685,0,0
14589,6,1,776,1,0
58117,3,0,854,0,0
61977,4,0,885,0,0
43225,2,0,797,0,0
50022,3,0,2,0,0
94174,3,1,233,0,0
32149,2,1,369,0,0
37231,9,1,251,1,0
43044,4,0,946,1,0
74063,4,0,833,1,0
24385,6,0,108,0,0
37726,3,0,276,0,0
42908,3,1,180,1,0
88564,8,1,725,1,1
53971,5,0,293,1,1
19298,3,0,584,1,0
19858,1,1,795,0,0
15354,5,1,175,1,0
44338,1,1,123,0,0
1352,4,1,227,0,0
39864,5,0,902,0,1
77809,3,1,444,1,0
37541,2,1,813,1,0
92334,6,1,428,1,1
53782,1,1,83,0,0
59594,5,0,765,0,1
81417,3,0,658,1,0
65315,5,0,632,0,0
78687,3,0,65,1,0
7049,3,0,281,0,0
55493,3,0,795,0,0
73653,8,1,391,0,1
7041,6,1,428,0,0
26034,2,1,618,0,0
23486,2,1,925,0,0
61986,5,0,991,0,1
75845,5,1,812,1,1
83351,3,0,107,0,0
94556,8,1,548,0,1
53513,3,1,659,1,0
56900,8,1,262,1,1
97339,3,0,921,1,0
42418,1,1,159,1,0
70273,1,0,265,0,1
70490,4,0,468,0,0
52429,3,1,202,1,0
43188,6,0,933,0,1
39911,4,0,155,1,0
55579,5,1,13,0,1
85492,9,1,297,0,1
87469,3,1,896,0,0
20063,1,1,834,0,0
55223,9,1,498,0,1
92805,8,1,597,1,1
73577,9,0,993,0,1
14488,6,1,792,0,1
5669,3,1,245,0,0
69936,2,0,300,0,0
36686,9,1,362,0,0
12115,2,0,354,1,0
45102,8,1,828,0,0
6354,4,1,521,1,0
17244,2,0,386,0,0
24314,4,1,759,0,0
80819,1,0,312,1,0
71874,3,1,414,0,0
6190,9,1,278,0,0
11737,1,0,750,1,0
22515,1,1,715,0,0
24171,7,1,759,1,1
58343,0,0,747,1,1
41340,6,1,593,1,0
83907,4,0,356,0,0
33534,7,1,525,0,0
69824,0,0,839,1,0
75797,6,1,16,0,1
28832,4,0,993,1,0
11414,3,0,45,0,0
24054,6,1,321,1,1
57208,9,1,651,0,1
87144,1,0,326,1,1
87605,0,1,148,0,0
36768,0,0,355,1,0
23161,0,1,236,0,0
79352,4,1,703,1,0
39849,9,0,613,0,0
17007,6,0,105,0,0
18877,1,1,474,1,0
93329,9,1,762,0,1
51845,7,1,396,0,1
91965,3,1,446,0,0
81918,2,1,606,0,0
23724,9,0,220,1,0
23421,7,1,987,0,0
10588,1,1,810,0,0
22674,2,0,851,1,0
5340,2,0,965,0,0
43321,9,0,442,1,0
10578,0,1,645,0,0
55745,5,0,873,1,1
19362,1,0,667,0,0
52896,0,0,28,1,1
4532,1,0,794,1,0
95357,5,1,475,1,1
64391,3,1,628,0,0
79204,5,1,305,1,1
59499,8,0,746,0,0
79814,9,0,405,1,1
50528,9,0,513,1,1
87831,7,0,502,1,1
402,0,0,348,0,0
82658,7,0,240,0,1
155,8,1,570,1,0
8817,5,1,847,1,0
28799,9,0,695,1,0
73786,4,1,337,1,0
67761,5,0,26,1,1
44347,5,0,980,1,0
16848,8,1,409,1,1
4721,3,0,77,1,0
15134,1,1,929,0,0
5226,8,0,217,1,1
5222,1,0,328,0,0
18130,9,1,837,1,1
82938,8,0,774,0,1
84817,1,0,23,0,1
55758,7,0,756,1,1
38738,8,1,670,0,0
67167,9,0,718,0,0
88969,8,0,310,1,1
34774,9,0,599,1,0
35954,8,1,267,1,0
46371,1,1,415,0,0
73788,3,1,646,1,1
38618,6,1,267,0,0
10367,1,1,333,1,0
90925,0,0,780,1,0
1162,2,1,450,0,0
50548,3,1,565,0,0
95562,7,0,611,0,0
6329,5,1,247,1,0
56893,1,0,36,1,0
48015,8,1,401,1,0
4732,1,0,28,0,0
3696,4,0,220,0,0
6268,3,1,406,0,0
7661,6,1,614,0,0
73894,7,0,775,1,1
82252,4,0,271,0,0
26834,9,0,736,0,0
6471,4,0,651,1,0
26169,1,0,792,1,0
80005,7,0,511,0,1
13010,1,0,963,0,0
73579,9,1,286,0,1
77835,5,0,454,0,0
81364,7,1,762,0,0
23375,5,1,834,0,0
72374,3,0,317,1,0
81549,3,0,590,1,0
60104,5,1,297,1,1
63081,3,0,338,1,0
84759,7,0,307,0,1
54653,8,1,428,0,1
48547,0,1,351,0,0
34629,3,1,511,0,0
75803,3,0,525,1,0
76190,1,0,858,0,0
17360,5,1,492,0,0
3912,2,0,908,0,0
28124,6,1,594,0,1
58756,4,0,9,1,1
27385,3,1,497,0,0
92536,4,0,725,1,0
1705,7,1,560,0,0
71258,2,0,561,0,0
72403,6,0,821,0,0
27239,5,1,440,1,0
77249,0,0,552,0,0
56238,6,0,875,0,0
76225,6,1,792,0,1
14018,0,0,738,1,0
85755,8,0,968,1,0
27546,5,0,108,0,0
13146,1,1,245,1,0
24918,4,1,255,0,0
4424,3,1,33,0,0
76423,6,1,23,1,1
9211,7,1,845,0,0
38210,0,0,566,0,0
16489,4,0,821,1,0
41527,2,1,49,1,0
79679,0,0,462,1,0
28846,2,0,590,1,0
87986,5,0,336,0,1
217,6,0,945,0,0
84571,7,1,358,0,1
13334,3,1,122,0,0
53541,2,0,444,0,0
946,4,0,359,0,0
11054,8,1,602,0,0
79339,5,0,346,0,0
46614,8,0,193,1,0
88336,5,0,416,0,1
97679,1,1,377,0,0
6569,4,1,463,0,0
30205,8,0,756,0,0
42201,7,0,661,0,1
64423,6,0,146,1,1
92022,0,0,478,1,0
58167,3,0,828,1,0
49476,6,0,890,0,0
45687,6,1,653,0,1
37076,5,1,408,0,1
67684,7,0,286,0,0
78577,5,1,898,1,1
42633,9,0,851,1,1
1928,2,0,111,0,0
2017,3,1,620,0,0
20718,2,1,879,1,0
32354,0,0,793,1,0
47462,9,0,50,1,0
20228,4,1,14,1,0
59483,0,1,134,1,0
65645,0,0,588,1,0
82280,1,0,596,1,0
88058,3,0,343,0,0
9965,5,1,670,0,0
2319,7,0,286,1,0
39909,2,1,934,0,0
5387,0,0,314,1,0
34487,2,1,606,0,0
8612,2,1,297,1,0
1442,4,1,606,0,0
63176,3,1,569,1,1
19316,3,0,164,0,0
93170,8,1,832,0,0
