amount,failed_attempts,new_device,account_age_days,international,risk_percent,risk_level,action
67044,8,0,122,1,85.0,HIGH,MANUAL REVIEW
5602,6,1,69,0,51.0,MEDIUM,VERIFY CUSTOMER
3730,5,1,251,1,39.0,MEDIUM,VERIFY CUSTOMER
66092,1,1,181,0,3.0,LOW,APPROVE
93667,0,1,389,1,37.0,MEDIUM,VERIFY CUSTOMER
65033,1,1,895,1,32.0,MEDIUM,VERIFY CUSTOMER
59657,1,1,567,0,5.0,LOW,APPROVE
39916,7,1,407,1,36.0,MEDIUM,VERIFY CUSTOMER
43873,8,0,899,0,22.0,LOW,APPROVE
6790,8,1,697,1,40.0,MEDIUM,VERIFY CUSTOMER
66860,5,0,455,1,80.0,HIGH,MANUAL REVIEW
40762,5,1,114,1,29.0,LOW,APPROVE
84959,2,1,447,1,6.0,LOW,APPROVE
14696,2,1,778,0,0.0,LOW,APPROVE
31468,0,0,572,0,0.0,LOW,APPROVE
73016,8,1,281,0,99.0,HIGH,MANUAL REVIEW
64469,2,0,636,0,1.0,LOW,APPROVE
23913,2,1,667,0,0.0,LOW,APPROVE
88262,4,0,5,1,74.0,HIGH,MANUAL REVIEW
96696,0,1,14,1,78.0,HIGH,MANUAL REVIEW
57964,6,0,442,1,60.0,MEDIUM,VERIFY CUSTOMER
51677,0,1,746,1,8.0,LOW,APPROVE
80254,0,0,632,1,2.0,LOW,APPROVE
95776,7,0,549,1,85.0,HIGH,MANUAL REVIEW
63144,7,0,379,0,29.0,LOW,APPROVE
74056,6,1,937,0,98.0,HIGH,MANUAL REVIEW
11608,0,0,123,1,0.0,LOW,APPROVE
146,9,0,539,0,7.0,LOW,APPROVE
64805,7,1,699,0,86.0,HIGH,MANUAL REVIEW
86442,6,1,552,1,93.0,HIGH,MANUAL REVIEW
37213,9,1,248,1,26.0,LOW,APPROVE
23958,5,1,875,0,17.0,LOW,APPROVE
11042,3,1,328,0,0.0,LOW,APPROVE
91172,3,0,633,0,0.0,LOW,APPROVE
61380,1,0,483,0,0.0,LOW,APPROVE
91413,0,1,536,1,27.0,LOW,APPROVE
73649,2,0,624,0,0.0,LOW,APPROVE
21196,6,0,421,0,3.0,LOW,APPROVE
75938,4,1,986,0,22.0,LOW,APPROVE
